"code","label","level"
"00 00 00","Procurement and Contracting Requirements",1
"00 01 01","Project Title Page",4
"00 01 03","Project Directory",4
"00 01 05","Certifications Page",4
"00 01 07","Seals Page",4
"00 01 10","Table of Contents",4
"00 01 15","List of Drawing Sheets",4
"00 01 20","List of Schedules",4
"00 10 00","Solicitation",2
"00 11 00","Advertisements and Invitations",3
"00 11 13","Advertisement for Bids",4
"00 11 15","Advertisement for Prequalification of Bidders",4
"00 11 16","Invitation to Bid",4
"00 11 19","Request for Proposal",4
"00 11 53","Request for Qualifications",4
"00 20 00","Instructions for Procurement",2
"00 21 00","Instructions",3
"00 21 13","Instructions to Bidders",4
"00 21 16","Instructions to Proposers",4
"00 22 00","Supplementary Instructions",3
"00 22 13","Supplementary Instructions to Bidders",4
"00 22 16","Supplementary Instructions to Proposers",4
"00 23 00","Procurement Definitions",3
"00 24 00","Procurement Scopes",3
"00 24 13","Scopes of Bids",4
"00 24 13.13","Scopes of Bids (Multiple Contracts)",5
"00 24 13.16","Scopes of Bids (Multiple-Prime Contract)",5
"00 24 16","Scopes of Proposals",4
"00 24 16.13","Scopes of Proposals (Multiple Contracts)",5
"00 24 16.16","Scopes of Proposals (Multiple-Prime Contract)",5
"00 25 00","Procurement Meetings",3
"00 25 13","Pre-Bid Meetings",4
"00 25 16","Pre-Proposal Meetings",4
"00 26 00","Procurement Substitution Procedures",3
"00 30 00","Available Information",2
"00 31 00","Available Project Information",3
"00 31 13","Preliminary Schedules",4
"00 31 13.13","Preliminary Project Schedule",5
"00 31 13.16","Preliminary Construction Schedule",5
"00 31 13.23","Preliminary Project Phases",5
"00 31 13.26","Preliminary Project Sequencing",5
"00 31 13.33","Preliminary Project Milestones",5
"00 31 16","Project Budget Information",4
"00 31 19","Existing Condition Information",4
"00 31 19.13","Movement and Vibration Information",5
"00 31 19.16","Acoustic Information",5
"00 31 19.19","Traffic Information",5
"00 31 19.23","Existing Structural Information",5
"00 31 21","Survey Information",4
"00 31 21.13","Site Survey Information",5
"00 31 21.16","Measured Drawing Information",5
"00 31 21.19","Photographic Information",5
"00 31 24","Environmental Assessment Information",4
"00 31 24.13","Soil Contamination Report",5
"00 31 24.23","Environmental Impact Study Report",5
"00 31 24.26","Environmental Impact Report Evaluation",5
"00 31 24.29","Record of Environmental Impact Decision",5
"00 31 24.33","Environmental Impact Mitigation Report",5
"00 31 25","Existing Material Information",4
"00 31 25.16","Existing Concrete Information",5
"00 31 25.19","Existing Masonry Information",5
"00 31 25.23","Existing Metals Information",5
"00 31 25.26","Existing Wood, Plastics, and Composites Information",5
"00 31 25.29","Existing Thermal and Moisture Protection Information",5
"00 31 26","Existing Hazardous Material Information",4
"00 31 26.23","Existing Asbestos Information",5
"00 31 26.26","Existing Lead Information",5
"00 31 26.29","Existing Polychlorinate Biphenyl Information",5
"00 31 26.33","Existing Mold Information",5
"00 31 26.36","Existing Hazardous Waste Drum Information",5
"00 31 31","Geophysical Data",4
"00 31 31.13","Seismic Investigations Information",5
"00 31 31.16","Gravity Investigations Information",5
